Time,Rotation,Torque,Folder,Theta,TestTorque,DR
7.2,4.0249925851822,3.82262729108334,90-270,90,3.82262729108334,-0.0810667872428898
7.24,3.9811277389526,3.74156050384045,90-270,90,3.74156050384045,-0.0946197658777299
7.28,3.9381211996078,3.64694073796272,90-270,90,3.64694073796272,-0.11377669870853
7.32,3.8905709981918,3.53316403925419,90-270,90,3.53316403925419,-0.0942956656217597
7.36,3.8383591175079,3.43886837363243,90-270,90,3.43886837363243,-0.0759109854698203
7.4,3.7945854663849,3.36295738816261,90-270,90,3.36295738816261,-0.11548213660717
7.44,3.740764260292,3.24747525155544,90-270,90,3.24747525155544,-0.06855577230453
7.48,3.7006491422653,3.17891947925091,90-270,90,3.17891947925091,-0.0991780310869199
7.52,3.6502987146377,3.07974144816399,90-270,90,3.07974144816399,-0.0724177807569504
7.56,3.6041271686554,3.00732366740704,90-270,90,3.00732366740704,-0.0694489106536
7.6,3.5602730512619,2.93787475675344,90-270,90,2.93787475675344,-0.0781770795583698
7.64,3.5123580694198,2.85969767719507,90-270,90,2.85969767719507,-0.0881170853972399
7.68,3.4656608104705,2.77158059179783,90-270,90,2.77158059179783,-0.0854771584272398
7.72,3.4193497896194,2.68610343337059,90-270,90,2.68610343337059,-0.0694610178470603
7.76,3.3716815710067,2.61664241552353,90-270,90,2.61664241552353,-0.0605108216404902
7.8,3.3248823881149,2.55613159388304,90-270,90,2.55613159388304,-0.0765254721045499
7.84,3.2813286781311,2.47960612177849,90-270,90,2.47960612177849,-0.06506461650133
7.88,3.2383704185485,2.41454150527716,90-270,90,2.41454150527716,-0.0833261758089101
7.92,3.1905788183212,2.33121532946825,90-270,90,2.33121532946825,-0.0725023448467299
7.96,3.1421917676925,2.25871298462152,90-270,90,2.25871298462152,-0.05867071449756
8,3.0994534492492,2.20004227012396,90-270,90,2.20004227012396,-0.0772850587964098
8.04,3.062315583229,2.12275721132755,90-270,90,2.12275721132755,-0.0706195831298801
8.08,3.0105757713318,2.05213762819767,90-270,90,2.05213762819767,-0.06849747151136
8.12,2.9638946056366,1.98364015668631,90-270,90,1.98364015668631,-0.0617919489741401
8.16,2.9210543632507,1.92184820771217,90-270,90,1.92184820771217,-0.0602928921580299
8.2,2.8775006532669,1.86155531555414,90-270,90,1.86155531555414,-0.0780094414949399
8.24,2.8313398361206,1.7835458740592,90-270,90,1.7835458740592,-0.0704437494278001
8.28,2.7853292226791,1.7131021246314,90-270,90,1.7131021246314,-0.0558339059352799
8.32,2.7426391839981,1.65726821869612,90-270,90,1.65726821869612,-0.0627288594842002
8.36,2.7013331651687,1.59453935921192,90-270,90,1.59453935921192,-0.07362198084593
8.4,2.657972574234,1.52091737836599,90-270,90,1.52091737836599,-0.05941707640886
8.44,2.6105350255966,1.46150030195713,90-270,90,1.46150030195713,-0.05847746506333
8.48,2.5680005550384,1.4030228368938,90-270,90,1.4030228368938,-0.07830699905753
8.52,2.5249457359314,1.32471583783627,90-270,90,1.32471583783627,-0.06499374285341
8.56,2.4761402606964,1.25972209498286,90-270,90,1.25972209498286,-0.0431322492659101
8.6,2.4277478456497,1.21658984571695,90-270,90,1.21658984571695,-0.03141555935144
8.64,2.3928523063659,1.18517428636551,90-270,90,1.18517428636551,-0.0683205202221899
8.68,2.3478716611862,1.11685376614332,90-270,90,1.11685376614332,-0.07120771333575
8.72,2.2959172725677,1.04564605280757,90-270,90,1.04564605280757,-0.047920923680068
8.76,2.2504913806915,0.997725129127502,90-270,90,0.997725129127502,-0.027238857001066
8.8,2.2148931026458,0.970486272126436,90-270,90,0.970486272126436,-0.043698493391275
8.84,2.1749764680862,0.926787778735161,90-270,90,0.926787778735161,-0.0393694266676901
8.88,2.1321845054626,0.887418352067471,90-270,90,0.887418352067471,-0.02118842676282
8.92,2.1014678478241,0.866229925304651,90-270,90,0.866229925304651,-0.043261330574751
8.96,2.0599740743637,0.8229685947299,90-270,90,0.8229685947299,-0.043875351548195
9,2.0167154073715,0.779093243181705,90-270,90,0.779093243181705,-0.0265398994088171
9.04,1.9805431365966,0.752553343772888,90-270,90,0.752553343772888,-0.054183788597584
9.08,1.9372791051864,0.698369555175304,90-270,90,0.698369555175304,-0.053196772933006
9.12,1.8965792655944,0.645172782242298,90-270,90,0.645172782242298,-0.043187476694584
9.16,1.8541896343231,0.601985305547714,90-270,90,0.601985305547714,-0.055352225899696
9.2,1.8168157339096,0.546633079648018,90-270,90,0.546633079648018,-0.042561162263155
9.24,1.774200797081,0.504071917384863,90-270,90,0.504071917384863,-0.044275633990765
9.28,1.7312800884246,0.459796283394098,90-270,90,0.459796283394098,-0.046507362276315
9.32,1.6862779855728,0.413288921117783,90-270,90,0.413288921117783,-0.040834955871106
9.36,1.6399025917053,0.372453965246677,90-270,90,0.372453965246677,-0.046130642294883
9.4,1.5957158803939,0.326323322951794,90-270,90,0.326323322951794,-0.067534577101469
9.44,1.5491205453872,0.258788745850325,90-270,90,0.258788745850325,-0.042584352195263
9.48,1.5176153182983,0.216204393655062,90-270,90,0.216204393655062,-0.035304483026266
9.52,1.476684808731,0.180899910628796,90-270,90,0.180899910628796,-0.03475183621049
9.56,1.4394772052765,0.146148074418306,90-270,90,0.146148074418306,-0.0510351732373234
