Time,Rotation,Torque,Folder,Theta,TestTorque,DR
44.2,-7.2954851388931,-3.05773299187422,165-345,345,0,0
44.24,-7.3312175273895,-3.08013409376144,165-345,345,0,0
44.28,-7.3727649450302,-3.10454294085503,165-345,345,0,0
44.32,-7.4165546894073,-3.12704294919968,165-345,345,0,0
44.36,-7.4553501605987,-3.14396433532238,165-345,345,0,0
44.4,-7.497906088829,-3.16401310265064,165-345,345,0,0
44.44,-7.5419962406158,-3.18290591239929,165-345,345,0,0
44.48,-7.5805824995041,-3.20102386176586,165-345,345,0,0
44.52,-7.6168942451477,-3.22355479001999,165-345,345,0,0
44.56,-7.6574921607971,-3.24188657104969,165-345,345,0,0
44.6,-7.692237496376,-3.25520522892475,165-345,345,0,0
44.64,-7.7369177341461,-3.281294927001,165-345,345,0,0
44.68,-7.7783417701721,-3.29728573560715,165-345,345,0,0
44.72,-7.8185480833053,-3.32276597619057,165-345,345,0,0
44.76,-7.8547579050064,-3.34097445011139,165-345,345,0,0
44.8,-7.8948086500168,-3.35918627679348,165-345,345,0,0
44.84,-7.9347199201584,-3.38049307465553,165-345,345,0,0
44.88,-7.9813688993454,-3.4156858921051,165-345,345,0,0
44.92,-8.021821975708,-3.43372821807861,165-345,345,0,0
44.96,-8.0625432729721,-3.45611423254013,165-345,345,0,0
45,-8.1011992692947,-3.47287394106388,165-345,345,0,0
45.04,-8.148078918457,-3.50089408457279,165-345,345,0,0
45.08,-8.1801742315292,-3.51680852472782,165-345,345,0,0
45.12,-8.2219845056534,-3.54496575891972,165-345,345,0,0
45.16,-8.2577222585678,-3.5694595426321,165-345,345,0,0
45.2,-8.3051651716232,-3.59515063464642,165-345,345,0,0
45.24,-8.3436119556427,-3.60969454050064,165-345,345,0,0
45.28,-8.3857494592666,-3.63594219088554,165-345,345,0,0
45.32,-8.4265887737274,-3.65184172987938,165-345,345,0,0
45.36,-8.4613555669784,-3.66477146744728,165-345,345,0,0
45.4,-8.5041099786758,-3.69291752576828,165-345,345,0,0
45.44,-8.5476315021515,-3.7181232124567,165-345,345,0,0
45.48,-8.5892432928085,-3.73362004756927,165-345,345,0,0
45.52,-8.6213117837906,-3.74928340315819,165-345,345,0,0
45.56,-8.6623442173004,-3.77465113997459,165-345,345,0,0
45.6,-8.7029582262039,-3.79904694855213,165-345,345,0,0
45.64,-8.7453693151474,-3.82324904203415,165-345,345,0,0
45.68,-8.7816703319549,-3.84092330932617,165-345,345,0,0
45.72,-8.8290327787399,-3.87126542627811,165-345,345,0,0
45.76,-8.8681071996689,-3.89834642410278,165-345,345,0,0
45.8,-8.9033192396164,-3.9219856262207,165-345,345,0,0
45.84,-8.9485037326813,-3.94698902964592,165-345,345,0,0
45.88,-8.9942675828934,-3.96699011325836,165-345,345,0,0
45.92,-9.0366142988205,-3.9950292557478,165-345,345,0,0
45.96,-9.0749806165695,-4.01538945734501,165-345,345,0,0
46,-9.1181266307831,-4.03945073485374,165-345,345,0,0
46.04,-9.1638851165771,-4.07310985028744,165-345,345,0,0
46.08,-9.2017740011215,-4.08974848687649,165-345,345,0,0
46.12,-9.2458426952362,-4.12028916180134,165-345,345,0,0
46.16,-9.2913383245468,-4.14798073470593,165-345,345,0,0
46.2,-9.3326336145401,-4.17394377291203,165-345,345,0,0
46.24,-9.3710589408874,-4.1967585682869,165-345,345,0,0
46.28,-9.4152992963791,-4.22374904155731,165-345,345,0,0
46.32,-9.4557845592499,-4.24833707511425,165-345,345,0,0
46.36,-9.4983780384064,-4.28050383925438,165-345,345,0,0
46.4,-9.5414113998413,-4.30280193686485,165-345,345,0,0
46.44,-9.5824331045151,-4.32531423866749,165-345,345,0,0
46.48,-9.6219474077225,-4.34837639331818,165-345,345,0,0
